0, 0, 0, 1, 0 | 0.6041
0, 0, 1, 1, 0 | 0.6042
0, 1, 1, 1, 0 | 0.5984
1, 1, 1, 1, 0 | 0.5508
0, 0, 1, 2, 0 | 0.7077
0, 1, 1, 2, 0 | 0.7284
0, 1, 2, 2, 0 | 0.7452
0, 2, 2, 2, 0 | 0.7835
1, 1, 1, 2, 0 | 0.6588
1, 1, 2, 2, 0 | 0.6790
1, 2, 2, 2, 0 | 0.6797
0, 0, 1, 3, 0 | 0.9247
0, 1, 1, 3, 0 | 0.9401
0, 1, 3, 3, 0 | 0.9301
0, 3, 3, 3, 0 | 0.9288
1, 1, 1, 3, 0 | 0.8953
1, 1, 3, 3, 0 | 0.8974
1, 3, 3, 3, 0 | 0.9091
0, 0, 0, 4, 0 | 0.9380
0, 0, 1, 4, 0 | 0.9349
0, 0, 4, 4, 0 | 0.9322
0, 1, 1, 4, 0 | 0.9126
0, 1, 2, 4, 0 | 1.0000
0, 1, 3, 4, 0 | 1.0000
0, 1, 4, 4, 0 | 0.9231
0, 2, 2, 4, 0 | 1.0000
0, 3, 3, 4, 0 | 0.7500
0, 4, 4, 4, 0 | 0.9454
1, 1, 1, 4, 0 | 0.9333
1, 1, 2, 4, 0 | 1.0000
1, 1, 4, 4, 0 | 0.9167
1, 2, 2, 4, 0 | 1.0000
0, 0, 0, 5, 0 | 0.9038
0, 0, 1, 5, 0 | 0.8927
0, 0, 4, 5, 0 | 1.0000
0, 0, 5, 5, 0 | 0.9417
0, 1, 1, 5, 0 | 0.8687
0, 1, 2, 5, 0 | 0.8750
0, 1, 3, 5, 0 | 0.8333
0, 1, 4, 5, 0 | 1.0000
0, 1, 5, 5, 0 | 0.9194
0, 2, 2, 5, 0 | 0.8182
0, 3, 3, 5, 0 | 1.0000
0, 4, 4, 5, 0 | 0.8750
0, 4, 5, 5, 0 | 1.0000
0, 5, 5, 5, 0 | 0.9500
1, 1, 1, 5, 0 | 0.8462
1, 1, 2, 5, 0 | 0.5000
1, 1, 5, 5, 0 | 0.6667
1, 2, 2, 5, 0 | 1.0000
1, 3, 3, 5, 0 | 1.0000
0, 1, 2, 6, 0 | 0.9465
0, 1, 3, 6, 0 | 0.9405
0, 2, 2, 6, 0 | 0.9484
0, 2, 6, 6, 0 | 0.9709
0, 3, 3, 6, 0 | 0.9682
0, 3, 6, 6, 0 | 0.9675
0, 6, 6, 6, 0 | 1.0000
1, 1, 2, 6, 0 | 0.9200
1, 1, 3, 6, 0 | 1.0000
1, 2, 2, 6, 0 | 0.9200
1, 2, 6, 6, 0 | 0.8980
1, 3, 3, 6, 0 | 1.0000
1, 3, 6, 6, 0 | 0.9831
1, 6, 6, 6, 0 | 1.0000
0, 1, 3, 7, 0 | 1.0000
0, 2, 6, 7, 0 | 1.0000
0, 3, 3, 7, 0 | 1.0000
0, 3, 6, 7, 0 | 1.0000
0, 3, 7, 7, 0 | 1.0000
0, 6, 6, 7, 0 | 1.0000
0, 6, 7, 7, 0 | 1.0000
0, 7, 7, 7, 0 | 1.0000
1, 1, 3, 7, 0 | 1.0000
1, 2, 6, 7, 0 | 1.0000
1, 3, 3, 7, 0 | 1.0000
1, 3, 6, 7, 0 | 1.0000
1, 3, 7, 7, 0 | 1.0000
1, 6, 6, 7, 0 | 1.0000
1, 7, 7, 7, 0 | 1.0000
0, 0, 0, 8, 0 | 1.0000
0, 0, 4, 8, 0 | 1.0000
0, 0, 5, 8, 0 | 1.0000
0, 0, 8, 8, 0 | 1.0000
0, 1, 1, 8, 0 | 1.0000
0, 4, 4, 8, 0 | 1.0000
0, 8, 8, 8, 0 | 1.0000
1, 1, 1, 8, 0 | 1.0000
0, 0, 0, 9, 0 | 1.0000
0, 0, 5, 9, 0 | 1.0000
0, 0, 0, 0, 1 | 0.1782
0, 0, 0, 1, 1 | 0.2659
0, 0, 1, 1, 1 | 0.2776
0, 1, 1, 1, 1 | 0.2730
0, 0, 1, 2, 1 | 0.4411
0, 1, 1, 2, 1 | 0.4431
0, 1, 2, 2, 1 | 0.5172
0, 2, 2, 2, 1 | 0.6667
1, 1, 2, 2, 1 | 0.5593
1, 2, 2, 2, 1 | 0.6105
0, 0, 1, 3, 1 | 0.3745
0, 1, 1, 3, 1 | 0.4246
0, 1, 3, 3, 1 | 0.3818
0, 3, 3, 3, 1 | 0.3537
0, 0, 0, 4, 1 | 0.8495
0, 0, 1, 4, 1 | 0.9091
0, 0, 4, 4, 1 | 0.7241
0, 1, 1, 4, 1 | 0.8611
0, 1, 2, 4, 1 | 1.0000
0, 1, 4, 4, 1 | 0.7143
0, 2, 2, 4, 1 | 1.0000
0, 4, 4, 4, 1 | 0.8000
1, 1, 1, 4, 1 | 1.0000
1, 1, 4, 4, 1 | 1.0000
1, 3, 3, 4, 1 | 1.0000
0, 0, 0, 5, 1 | 0.7692
0, 0, 1, 5, 1 | 0.8000
0, 0, 4, 5, 1 | 0.0000
0, 0, 5, 5, 1 | 0.8571
0, 1, 1, 5, 1 | 0.6000
0, 1, 2, 5, 1 | 0.8333
0, 1, 5, 5, 1 | 1.0000
0, 2, 2, 5, 1 | 1.0000
0, 5, 5, 5, 1 | 1.0000
1, 1, 1, 5, 1 | 0.8000
1, 1, 5, 5, 1 | 0.6667
1, 3, 3, 5, 1 | 1.0000
0, 1, 2, 6, 1 | 0.8684
0, 1, 3, 6, 1 | 0.9444
0, 2, 6, 6, 1 | 1.0000
0, 3, 3, 6, 1 | 0.9474
0, 3, 6, 6, 1 | 0.8333
1, 2, 2, 6, 1 | 0.7500
1, 2, 6, 6, 1 | 1.0000
1, 6, 6, 6, 1 | 1.0000
0, 1, 3, 7, 1 | 0.5714
0, 2, 6, 7, 1 | 1.0000
0, 3, 3, 7, 1 | 0.5000
0, 3, 7, 7, 1 | 0.5000
